t,x,y,z,v_x,v_y,v_z,ekt,v_magnitude,theta_f,phi
12.5,2.597647429,1.620833039,33.451210022,0.039655585,0.006059654,0.546313226,0.7236222073398909,0.547784105036664,4.199703428027508,8.687994963256301
6.9,2.036161423,2.747157812,35.44543457,-0.030892715,0.247354299,1.420695424,5.017226135540332,1.4423986955236725,9.9518457641596,97.11895588456048
15.5,2.3860147,5.904664516,32.327861786,1.369286299,-0.565133691,0.278278559,5.478422030245926,1.5072358852321417,79.36053156336192,337.5730150971758
14.9,5.376201153,4.072410107,32.603466034,0.13988775,0.126964614,0.462108552,0.6010331437210361,0.4992323203076582,22.235198477474242,42.22744401816635
17.700001,0.657206953,5.100781918,32.034183502,-0.806632936,-0.204949155,0.236790419,1.8055877058223149,0.8652921773050937,74.11819956416839,194.25603773708937
15.4,3.171257019,0.137789562,31.40325737,-0.355434269,0.328571826,0.229343832,0.691848179595818,0.5356225888599013,64.64777361612298,137.24897716008206
8.0,3.939699888,0.347989082,32.66192627,1.336359382,-0.239962876,0.68606168,5.580572585014929,1.5212229318814634,63.19255515389697,349.82019020737823
7.9,3.385727882,1.3659091,37.837989807,0.215932921,0.844448924,1.614030361,8.11435917968807,1.8343432115735976,28.370238221505,75.65632926626017
15.1,5.546002388,0.245191678,32.502765656,0.622581005,0.228479207,0.60448724,1.941800987172701,0.8973375502791446,47.650960427406964,20.15248619186707
13.5,3.572640896,3.674851894,33.22019577,0.088536255,-0.47272414,0.581939697,1.3744782214415177,0.754957344445775,39.57200446545294,280.6080021802451
8.1,5.212664127,0.442085981,32.837860107,-0.536455035,-0.33880192,0.799691796,2.5130037820841085,1.0208220776228556,38.42888689089254,212.27474442854455
8.5,0.08506304,5.808310509,31.62187767,0.593037844,0.656771362,0.543801308,2.6014700019764785,1.0386348583318463,58.427763076894806,47.91924654344132
8.1,0.765929937,1.890089035,32.046440125,-0.170473203,1.002125263,0.616991758,3.409894192316363,1.189115211038791,58.743767096168334,99.6542637596948
7.8,2.595829248,0.960372984,31.359077454,1.110545039,0.889090955,0.604666412,5.762149543048477,1.5457731009793376,66.97242450384908,38.68040546637138
24.799999,1.244872689,1.760119438,35.705619812,-0.042198736,-1.009909511,1.077044725,5.261295595529611,1.4770657715141133,43.18242416853975,267.6073066074748
